RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,clutser
APJ,Manufacturing,T2,1000,5288801,1,0
NAMERICA,Education,T1,18900,14656200,1,0
APJ,Agriculture,T2,111,1003200,0,0
APJ,"Business, Engineering & Consumer Services",T1,200,167669,0,0
Greater China,Manufacturing,T1,3000,32714,1,0
LA,"Business, Engineering & Consumer Services",T3,300,59848.02,1,0
EMEA,Web & Tech,T1,324,6000000,1,0
EMEA,Web & Tech,T5,5,2293163,1,0
NAMERICA,Manufacturing,T1,8970,4070000,1,0
NAMERICA,Government,T1,295,1085466.345,0,0
NAMERICA,Government,T4,13,175018,1,0
EMEA,Agriculture,T2,2000,490000,1,0
NAMERICA,Education,T1,2000,1369632,0,0
CSB,"Business, Engineering & Consumer Services",T5,112,137141.51,1,0
LA,Energy,T2,60,550300,0,0
NAMERICA,Retail,T3,101,68928.877,1,0
APJ,"Business, Engineering & Consumer Services",T1,100,2063129,1,0
NAMERICA,Healthcare & Life Sciences,T5,200,12116.999,0,0
Greater China,"Banking, Financial Services & Insurance",T1,13,572434.947,0,0
NAMERICA,Manufacturing,T3,360,318264,0,0
CSB,Manufacturing,T5,1,14242.094,0,0
CSB,Agriculture,T5,4,30577,1,0
EMEA,Web & Tech,T3,65,26334,1,0
Greater China,"Banking, Financial Services & Insurance",T2,400,148061,1,0
NAMERICA,Healthcare & Life Sciences,T5,28,1959279,0,0
NAMERICA,Healthcare & Life Sciences,T1,193992,86338,0,0
NAMERICA,Energy,T1,1551,95784,1,0
NAMERICA,Retail,T3,126,692501,1,0
Greater China,Agriculture,T5,9539,29807,1,0
CSB,"Business, Engineering & Consumer Services",T5,20,44365,0,0
CSB,Retail,T5,15,12626,0,0
LA,"Business, Engineering & Consumer Services",T5,30,94997,0,0
LA,Agriculture,T5,20,3242430,1,0
Greater China,Manufacturing,T1,400,422945.769,0,0
EMEA,Manufacturing,T1,12000,2090000,0,0
LA,Retail,T1,200,1071100,0,0
NAMERICA,Government,T1,2732078,8332167,1,0
NAMERICA,Healthcare & Life Sciences,T5,45,98564.948,1,0
Greater China,Manufacturing,T1,500,230036,0,0
NAMERICA,Government,T1,5,27674100,0,0
APJ,Web & Tech,T3,119,54351.73,1,0
LA,Government,T3,190,39457.326,1,0
NAMERICA,Education,T1,350,351264.412,0,0
CSB,Web & Tech,T5,5,131640,1,0
LA,"Business, Engineering & Consumer Services",T1,751,124287,1,0
CSB,"Telecom, Media & Entertainment",T5,1,23121.108,1,0
EMEA,Agriculture,T3,86,10604.84,1,0
APJ,Transportation,T2,7947,83444.96,1,0
EMEA,Retail,T5,82,3985433,1,0
NAMERICA,Education,T5,120,39765.993,1,0
EMEA,Agriculture,T5,3,4779475,0,0
APJ,Web & Tech,T5,101,110138,1,0
CSB,"Business, Engineering & Consumer Services",T5,210,1194274,0,0
NAMERICA,Agriculture,T2,1227,526386.161,1,0
APJ,Manufacturing,T1,2100,1099725.289,0,0
EMEA,Manufacturing,T3,304,68516,1,0
CSB,Manufacturing,T5,14,32060,1,0
NAMERICA,Education,T4,534,153062,0,0
NAMERICA,Agriculture,T5,10,23358.87,0,0
EMEA,Retail,T1,440,1450000,1,0
NAMERICA,Agriculture,T2,26,19909.752,0,0
APJ,"Business, Engineering & Consumer Services",T1,600,100000,0,0
CSB,Education,T5,13,16554,1,0
NAMERICA,"Business, Engineering & Consumer Services",T4,20,115893.061,0,0
CSB,"Business, Engineering & Consumer Services",T5,26,84384,1,0
EMEA,Energy,T1,14,3300000,1,0
EMEA,Manufacturing,T2,72735,30943700,0,0
EMEA,Healthcare & Life Sciences,T1,7059,7200000,1,0
EMEA,Retail,T3,3,42673.85,0,0
NAMERICA,Education,T5,1,37347,0,0
EMEA,Web & Tech,T1,9252,4863478.28,1,0
LA,Agriculture,T5,18,166537,0,0
APJ,Government,T2,2876,860000,0,0
NAMERICA,Government,T4,608,329435,1,0
APJ,Healthcare & Life Sciences,T5,3992,74430.828,1,0
NAMERICA,Government,T5,247,56402.52,1,0
Greater China,Manufacturing,T2,530,338249,1,0
EMEA,"Banking, Financial Services & Insurance",T1,500,3621172.241,0,0
EMEA,Manufacturing,T1,600,2062162.014,0,0
Greater China,Manufacturing,T1,500,2306845,1,0
NAMERICA,Construction & Real Estate,T4,24,255000,1,0
Greater China,Manufacturing,T3,501,5273696,1,0
APJ,Construction & Real Estate,T1,200,4435300,0,0
APJ,Retail,T5,6533,4440813,0,0
NAMERICA,Government,T1,40000,3019100,1,0
NAMERICA,Retail,T5,300,92256,0,0
NAMERICA,Education,T1,3191,3601400,1,0
